timestep,consumption_eur
2008-05-30,76896.20833333333
2008-05-31,71930.375
2008-06-01,70334.08333333333
2008-06-02,76179.08333333333
2008-06-03,75412.08333333333
2008-06-04,75556.29166666667
2008-06-05,75063.25
2008-06-06,75108.79166666667
2008-06-07,74308.20833333333
2008-06-08,70447.75
2008-06-09,75369.95833333333
2008-06-10,76457.91666666667
2008-06-11,75861.04166666667
2008-06-12,70167.875
2008-06-13,69466.83333333333
2008-06-14,69147.875
2008-06-15,68469.58333333333
2008-06-16,73523.0
2008-06-17,73110.5
2008-06-18,73438.25
2008-06-19,73160.04166666667
2008-06-20,72657.70833333333
2008-06-21,68792.41666666667
2008-06-22,67661.04166666667
2008-06-23,72729.5
2008-06-24,72797.5
2008-06-25,73529.91666666667
2008-06-26,73260.29166666667
2008-06-27,73580.33333333333
2008-06-28,69774.5
2008-06-29,68025.54166666667
2008-06-30,73230.5
2008-07-01,73174.58333333333
2008-07-02,73015.70833333333
2008-07-03,73151.375
2008-07-04,72854.25
2008-07-05,69166.20833333333
2008-07-06,67681.75
2008-07-07,72710.79166666667
2008-07-08,72359.04166666667
2008-07-09,72289.79166666667
2008-07-10,73291.20833333333
2008-07-11,73574.45833333333
2008-07-12,69753.75
2008-07-13,68438.95833333333
2008-07-14,73867.125
2008-07-15,74100.16666666667
2008-07-16,74623.125
2008-07-17,75342.70833333333
2008-07-18,75492.45833333333
2008-07-19,70594.875
2008-07-20,69019.16666666667
2008-07-21,74896.66666666667
2008-07-22,75163.91666666667
2008-07-23,75655.45833333333
2008-07-24,75846.08333333333
2008-07-25,75618.04166666667
2008-07-26,71082.04166666667
2008-07-27,69098.70833333333
2008-07-28,75288.20833333333
2008-07-29,75830.95833333333
2008-07-30,76324.125
2008-07-31,75691.66666666667
2008-08-01,74788.25
2008-08-02,71194.45833333333
2008-08-03,69462.16666666667
2008-08-04,75436.75
2008-08-05,75715.25
2008-08-06,76045.33333333333
2008-08-07,76380.54166666667
2008-08-08,76336.04166666667
2008-08-09,72003.95833333333
2008-08-10,70787.375
2008-08-11,76130.125
2008-08-12,76927.25
2008-08-13,76699.91666666667
2008-08-14,76803.70833333333
2008-08-15,76716.45833333333
2008-08-16,72380.25
2008-08-17,71237.79166666667
2008-08-18,76864.58333333333
2008-08-19,77288.625
2008-08-20,77790.54166666667
2008-08-21,78281.875
2008-08-22,77996.95833333333
2008-08-23,73649.91666666667
2008-08-24,72458.25
2008-08-25,78299.5
2008-08-26,78408.04166666667
2008-08-27,78454.91666666667
2008-08-28,78567.58333333333
2008-08-29,78387.25
2008-08-30,73491.375
2008-08-31,72628.04166666667
2008-09-01,78322.54166666667
2008-09-02,79305.45833333333
2008-09-03,79253.125
2008-09-04,78551.625
2008-09-05,78039.04166666667
2008-09-06,73753.16666666667
2008-09-07,71951.41666666667
2008-09-08,77709.91666666667
2008-09-09,78002.16666666667
2008-09-10,78578.125
2008-09-11,79054.79166666667
